"geoip.country_name.keyword: Descending",Count
"United States","141,916"
Germany,"97,338"
Russia,"73,376"
Netherlands,"41,775"
China,"38,254"
Luxembourg,"36,198"
Chile,"18,560"
Monaco,"17,671"
Finland,"11,058"
"United Kingdom","8,524"
France,"8,291"
Vietnam,"6,881"
Bulgaria,"6,760"
"Republic of Lithuania","6,537"
Italy,"6,153"
Bangladesh,"5,842"
Singapore,"5,765"
Ukraine,"4,940"
Poland,"4,853"
India,"3,553"
Australia,"3,515"
Indonesia,"3,308"
Greece,"3,194"
Turkey,"2,751"
Sweden,"2,749"
Canada,"2,652"
Mexico,"2,536"
Japan,"2,367"
Latvia,"2,162"
"Hong Kong","2,025"
"South Korea","1,850"
Spain,"1,615"
Kuwait,"1,429"
Taiwan,"1,094"
Azerbaijan,"1,092"
Switzerland,"1,067"
Slovakia,"1,023"
Panama,"1,021"
Brazil,950
Ireland,549
Palestine,519
Romania,442
Iran,361
Pakistan,307
Mongolia,298
Israel,264
Paraguay,217
Portugal,188
Venezuela,177
Austria,175
Colombia,159
Ecuador,148
Croatia,146
Argentina,135
"Dominican Republic",122
Egypt,115
Georgia,112
"South Africa",111
Czechia,96
Lebanon,87
Malaysia,79
Belgium,72
"Republic of Moldova",71
Cyprus,64
Seychelles,62
Thailand,55
Serbia,49
Bahrain,42
Armenia,41
Cambodia,40
Burundi,39
Denmark,39
Uruguay,39
Slovenia,36
Kazakhstan,34
Hungary,31
Tunisia,31
Brunei,27
Nigeria,27
Cameroon,26
Bolivia,25
Iraq,24
Norway,23
"DR Congo",21
Myanmar,21
Peru,14
Syria,14
Belarus,13
"Costa Rica",12
"North Macedonia",12
Morocco,11
Philippines,10
"Saudi Arabia",10
Albania,9
"New Zealand",9
Kenya,8
Liberia,8
Macao,8
"United Arab Emirates",7
"Bosnia and Herzegovina",6
"Curaçao",6
Guam,4
Guinea,4
"Ivory Coast",4
Malta,4
Nepal,4
Oman,4
"Sint Maarten",4
"Sri Lanka",4
Ethiopia,3
Bahamas,2
Belize,2
Estonia,2
Gabon,2
Guatemala,2
Namibia,2
"Puerto Rico",2
Senegal,2
"Trinidad and Tobago",2
Benin,1
"Hashemite Kingdom of Jordan",1
Iceland,1
Kyrgyzstan,1
Somalia,1
Tajikistan,1
