"geoip.country_name.keyword: Descending",Count
"United States",10014
Germany,6171
China,2032
"United Kingdom",1048
France,779
Japan,628
"South Africa",623
Australia,472
Ireland,426
Brazil,310
Singapore,274
Canada,258
India,157
"South Korea",83
Russia,76
Sweden,43
Romania,20
"Hong Kong",18
Bulgaria,15
Netherlands,15
Turkey,15
Taiwan,10
Poland,9
Spain,9
Switzerland,8
Czechia,6
Portugal,6
Hungary,5
Italy,5
Cyprus,4
Greece,4
Israel,4
Luxembourg,4
Philippines,4
Serbia,4
Slovakia,4
Thailand,4
Argentina,3
Indonesia,3
Norway,3
Ukraine,3
"Republic of Lithuania",2
"United Arab Emirates",2
Belarus,1
Egypt,1
Iran,1
"Saudi Arabia",1
Uruguay,1
Vietnam,1
