Filter,Geohash,Count,"Geo Centroid"
,u0,"109,705","{
  ""lat"": 49.60602676299543,
  ""lon"": 7.514657435594728
}"
,u1,"74,478","{
  ""lat"": 51.90162099285427,
  ""lon"": 6.913701144716631
}"
,9y,"73,996","{
  ""lat"": 37.751111446329,
  ""lon"": -97.82071028683968
}"
,uc,"53,038","{
  ""lat"": 55.727742240422,
  ""lon"": 37.60771975770774
}"
,wt,"28,149","{
  ""lat"": 31.731900685061067,
  ""lon"": 119.16063769011208
}"
,sp,"18,918","{
  ""lat"": 43.57846588082877,
  ""lon"": 7.078704987019017
}"
,66,"18,521","{
  ""lat"": -33.45068957830883,
  ""lon"": -70.6655814090985
}"
,v4,"17,470","{
  ""lat"": 58.0045441953227,
  ""lon"": 56.23382813228069
}"
,9q,"17,036","{
  ""lat"": 35.96534188252167,
  ""lon"": -118.94013351979585
}"
,ud,"14,116","{
  ""lat"": 59.67041859816331,
  ""lon"": 25.29190238594566
}"
,dr,"12,591","{
  ""lat"": 41.89424034802535,
  ""lon"": -72.31020370544898
}"
,sx,"9,614","{
  ""lat"": 42.4383365474837,
  ""lon"": 25.33031865128957
}"
,9x,"9,566","{
  ""lat"": 40.213909048334735,
  ""lon"": -105.26219806232095
}"
,gc,"9,057","{
  ""lat"": 51.89416053259308,
  ""lon"": -1.1332030386644538
}"
,dj,"6,812","{
  ""lat"": 30.194044947870708,
  ""lon"": -81.65956746612108
}"
,u9,"6,606","{
  ""lat"": 55.95955490796352,
  ""lon"": 24.0289866422336
}"
,sr,"6,160","{
  ""lat"": 43.05112987747734,
  ""lon"": 12.298241856479232
}"
,c2,"5,914","{
  ""lat"": 45.86410780726183,
  ""lon"": -122.51118667757736
}"
,w2,"5,853","{
  ""lat"": 1.3386522335903017,
  ""lon"": 103.70620591929712
}"
,wh,"5,851","{
  ""lat"": 23.72705874968017,
  ""lon"": 90.4526466073128
}"
,u3,"4,948","{
  ""lat"": 52.34049828095541,
  ""lon"": 20.750360166474803
}"
,9v,"4,940","{
  ""lat"": 32.911570087823684,
  ""lon"": -96.77294878588484
}"
,ww,"4,875","{
  ""lat"": 35.04607633138219,
  ""lon"": 114.30360101341628
}"
,u8,"4,783","{
  ""lat"": 50.04401658489827,
  ""lon"": 29.989610365992082
}"
,dq,"4,214","{
  ""lat"": 38.65510518900987,
  ""lon"": -77.44204132956035
}"
,wx,"3,981","{
  ""lat"": 39.95391021605466,
  ""lon"": 116.50422098621804
}"
,w7,"3,874","{
  ""lat"": 21.03229750781986,
  ""lon"": 105.89637113203788
}"
,dp,"3,506","{
  ""lat"": 42.85022456200126,
  ""lon"": -79.63380299845133
}"
,sw,"3,266","{
  ""lat"": 37.902110589526146,
  ""lon"": 23.938876052742934
}"
,qq,"3,220","{
  ""lat"": -6.178947984411595,
  ""lon"": 106.83081132940578
}"
,w6,"2,897","{
  ""lat"": 12.975950271741821,
  ""lon"": 106.37486521358781
}"
,u6,"2,696","{
  ""lat"": 59.173698599928045,
  ""lon"": 17.576810174064782
}"
,9g,"2,488","{
  ""lat"": 20.595409727653106,
  ""lon"": -100.29749434183418
}"
,r4,"2,342","{
  ""lat"": -33.494000039063394,
  ""lon"": 143.21039996109903
}"
,xn,"2,341","{
  ""lat"": 35.57170259721326,
  ""lon"": 139.2176156293876
}"
,u2,"2,047","{
  ""lat"": 48.23632815936476,
  ""lon"": 16.621607709516788
}"
