"dest_port: Descending",Timestamp,Attacks
5038,"2021-09-27 12:00",21
5038,"2021-09-28 12:00","2,419"
5038,"2021-09-29 12:00",71
5038,"2021-10-01 12:00",120
5038,"2021-10-03 00:00","1,567"
5038,"2021-10-03 12:00","1,401"
5038,"2021-10-04 00:00",931
5038,"2021-10-13 12:00","2,371"
5038,"2021-10-14 12:00",24
5038,"2021-10-15 00:00","3,352"
7070,"2021-10-01 00:00",1
7070,"2021-10-01 12:00","2,394"
7070,"2021-10-15 00:00",269
7070,"2021-10-15 12:00",1
6379,"2021-09-27 12:00",69
6379,"2021-09-28 00:00",70
6379,"2021-09-28 12:00",54
6379,"2021-09-29 00:00",93
6379,"2021-09-29 12:00",72
6379,"2021-09-30 00:00",49
6379,"2021-09-30 12:00",61
6379,"2021-10-01 00:00",67
6379,"2021-10-01 12:00",71
6379,"2021-10-02 00:00",62
6379,"2021-10-02 12:00",64
6379,"2021-10-03 00:00",74
6379,"2021-10-03 12:00",61
6379,"2021-10-04 00:00",52
6379,"2021-10-04 12:00",54
6379,"2021-10-05 00:00",64
6379,"2021-10-05 12:00",53
6379,"2021-10-06 00:00",53
6379,"2021-10-06 12:00",57
6379,"2021-10-07 00:00",65
6379,"2021-10-07 12:00",68
6379,"2021-10-08 00:00",65
6379,"2021-10-08 12:00",4
6379,"2021-10-09 12:00",53
6379,"2021-10-10 00:00",73
6379,"2021-10-10 12:00",71
6379,"2021-10-11 00:00",69
6379,"2021-10-11 12:00",90
6379,"2021-10-12 00:00",73
6379,"2021-10-12 12:00",59
6379,"2021-10-13 00:00",84
6379,"2021-10-13 12:00",57
6379,"2021-10-14 00:00",69
6379,"2021-10-14 12:00",63
6379,"2021-10-15 00:00",76
6379,"2021-10-15 12:00",61
8000,"2021-09-28 00:00",20
8000,"2021-09-28 12:00",4
8000,"2021-09-29 00:00",15
8000,"2021-09-29 12:00",13
8000,"2021-09-30 00:00",24
8000,"2021-09-30 12:00",77
8000,"2021-10-01 00:00",4
8000,"2021-10-01 12:00",846
8000,"2021-10-02 00:00",1
8000,"2021-10-03 00:00",4
8000,"2021-10-03 12:00",18
8000,"2021-10-04 00:00",16
8000,"2021-10-04 12:00",5
8000,"2021-10-05 00:00",16
8000,"2021-10-05 12:00",2
8000,"2021-10-06 00:00",4
8000,"2021-10-06 12:00",37
8000,"2021-10-07 00:00",2
8000,"2021-10-09 12:00",15
8000,"2021-10-10 00:00",13
8000,"2021-10-10 12:00",13
8000,"2021-10-11 00:00",16
8000,"2021-10-11 12:00",22
8000,"2021-10-12 00:00",10
8000,"2021-10-13 00:00",22
8000,"2021-10-13 12:00",7
8000,"2021-10-14 00:00",7
8000,"2021-10-14 12:00",13
8000,"2021-10-15 00:00",20
8000,"2021-10-15 12:00",26
5901,"2021-09-28 00:00",9
5901,"2021-09-28 12:00",2
5901,"2021-09-29 00:00",33
5901,"2021-09-29 12:00",7
5901,"2021-10-08 00:00",13
5901,"2021-10-09 12:00",33
5901,"2021-10-10 00:00",6
5901,"2021-10-10 12:00",28
5901,"2021-10-11 00:00",41
5901,"2021-10-11 12:00",8
5901,"2021-10-12 00:00",6
5901,"2021-10-12 12:00",62
5901,"2021-10-14 00:00",4
5901,"2021-10-14 12:00",220
5901,"2021-10-15 00:00",299
5901,"2021-10-15 12:00",299
