Timestamp,Attacks,"Unique Src IPs"
"2021-09-27 12:00",24,10
"2021-09-28 00:00",261,47
"2021-09-28 12:00","34,474",39
"2021-09-29 00:00","3,153",29
"2021-09-29 12:00","7,640",28
"2021-09-30 00:00","8,158",20
"2021-09-30 12:00","2,976",44
"2021-10-01 00:00",659,30
"2021-10-01 12:00",548,25
"2021-10-02 00:00",273,20
"2021-10-02 12:00",718,26
"2021-10-03 00:00","1,848",50
"2021-10-03 12:00","4,865",39
"2021-10-04 00:00","4,298",27
"2021-10-04 12:00","3,311",41
"2021-10-05 00:00","3,019",23
"2021-10-05 12:00","2,642",34
"2021-10-06 00:00","2,981",46
"2021-10-06 12:00","2,608",50
"2021-10-07 00:00","2,317",32
"2021-10-07 12:00","5,391",52
"2021-10-08 00:00","5,548",44
"2021-10-08 12:00","7,250",56
"2021-10-09 00:00","7,201",42
"2021-10-09 12:00","7,139",45
"2021-10-10 00:00","7,637",37
"2021-10-10 12:00","7,499",44
"2021-10-11 00:00","8,651",43
"2021-10-11 12:00","9,274",49
"2021-10-12 00:00","13,563",62
"2021-10-12 12:00","14,399",111
"2021-10-13 00:00","27,468",71
"2021-10-13 12:00","25,784",91
"2021-10-14 00:00","21,095",84
"2021-10-14 12:00","8,934",75
"2021-10-15 00:00","7,616",52
"2021-10-15 12:00","8,818",63
